year,meat_type,ssr_percent,data_status
2020,Poultry,102.5,Official
2020,Pork,94.9,Official
2020,Beef,21.3,Official
2020,Mutton,9.4,Official
2021,Poultry,100.9,Official
2021,Pork,93.4,Official
2021,Beef,18.9,Official
2021,Mutton,10.7,Official
2022,Poultry,94.4,Official
2022,Pork,84.6,Official
2022,Beef,14.7,Official
2022,Mutton,8.7,Official
2023,Poultry,91.4,Official
2023,Pork,69.6,Official
2023,Beef,15.9,Official
2023,Mutton,10.6,Official
2024,Poultry,93.8,Official
2024,Pork,67.8,Official
2024,Beef,16.8,Official
2024,Mutton,8.5,Official
2025,Poultry,88.5,Projected
2025,Pork,58.7,Projected
2025,Beef,14.0,Projected
2025,Mutton,9.0,Projected
2026,Poultry,85.8,Projected
2026,Pork,50.9,Projected
2026,Beef,12.8,Projected
2026,Mutton,8.8,Projected
